Text,Tag,Tag - Color,Tag - Group,Tag - Board,Note - Title,Insights,Created,URL
"Um, and they're basically warning that dog off making sure it goes away from like, something they care about, which is usually their den",Action,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=4cc7GKRvUrtWHF8qNdj9Mx
"Um, but, yeah, I think those are like some of the bigger things that people know or perceive about coyotes. Um, a lot of people don't really know a lot about, like, the life history of them either. They're actually kind of a lot like humans. There's a lot of, like, human, like, um, I guess just ecology with them, they are, they tend to be monogamous. Um, they raise like a litter of pups every year",Frustration,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=7tenN1STnCbHBbsdpyKcLQ
"Um, the other thing I hear a lot is like, people are really afraid about, like their kids. Um, and really there's pretty much no reason to fear coyotes around kids. Very rarely does something happen and almost every time something actually happens, like, some sort of, they call them attacks but they're almost always just like a tiny nip. Um, is because that coyote has been habituated and it has come to associate people with food because someone is feeding it somewhere",Suggestion,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=7yxu3CzsciX2Jiylag2bUe
Um There's also a lot of like different coyote projects going on at like the Chicago. One is one that people usually know about. Um but is admittedly not my favorite one,Request,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=7AJdbl61fTtIXPBQyg3pWw
"of because, you know, you wanna, you wanna keep your pets safe as much as possible and you never know if, uh, you never know if a coyote will lunge at your pet or not. And I mean, they're wild animals if you leave them alone. Uh, you know, most lik",Key insight,#5550ff,Untitled group,Tags,Greenlake - Pet Owner,,2024-11-22 18:11,https://personal-workspace-hh6j.dovetail.com/data/2NMa3LMM4A37syBu6f41e5#:v:h=1uiPGigkriSCRTBToqdNY3
That's usually how I would look up information about them,Action,#5550ff,Untitled group,Tags,Greenlake - Pet Owner,,2024-11-22 18:11,https://personal-workspace-hh6j.dovetail.com/data/2NMa3LMM4A37syBu6f41e5#:v:h=3a9Xa87jFKGVYGf4P6zVqX
"No, I don't wanna make any sudden movements then, I mean, I don't know much about coyotes in general but I wouldn't really, um, uh, I wouldn't wanna do, uh, anything to alarm it and I wouldn't want to do anything that would attract attention of any sort",Action,#5550ff,Untitled group,Tags,Greenlake - Pet Owner,,2024-11-22 18:11,https://personal-workspace-hh6j.dovetail.com/data/2NMa3LMM4A37syBu6f41e5#:v:h=44q8om4q5efTZXhIXFgPqW
"Kind of because, you know, you wanna, you wanna keep your pets safe as much as possible and you never know if, uh, you never know if a coyote will lunge at your pet or not. And I mean, they're wild animals if you leave them alone. Uh, you know, most likely they'll leave you, uh, you alone but you also don't wanna tempt fate either",Action,#5550ff,Untitled group,Tags,Greenlake - Pet Owner,,2024-11-22 18:11,https://personal-workspace-hh6j.dovetail.com/data/2NMa3LMM4A37syBu6f41e5#:v:h=4VCpe1rbumbtOp4pVnf1Or
"I do hear things like, um, like out of all the animals that, um, you should avoid it to them because, you know, you never know if they're carrying rabies and you do and, you know, you wouldn't want them near you or your pets, uh, obviously for, for that reason, but even if they didn't have rabies, um, I do believe that they, I think that they usually, uh, prefer to be left alone as is the case with a lot of wild animals as long as you don't go near them or provoke them, but even then I would not approach one",Key insight,#5550ff,Untitled group,Tags,Greenlake - Pet Owner,,2024-11-22 18:11,https://personal-workspace-hh6j.dovetail.com/data/2NMa3LMM4A37syBu6f41e5#:v:h=59CnK9NhPy4Nlk0LodcHpy
"No, that's good. Um, I honestly, I don't know myself. So that's great. Um, so what are your ways of getting information about kind of coyote sightings and like, right now, um, the obvious one would be to look online and, um, see, like, uh, learn about their behaviors and where they've been spotted.",Confusion,#5550ff,Untitled group,Tags,Greenlake - Pet Owner,,2024-11-25 15:55,https://personal-workspace-hh6j.dovetail.com/data/2NMa3LMM4A37syBu6f41e5#:v:h=6hEckPiBUAFYgVci4KfW21
"Um And so they will move into areas that provide the things they need to survive. And so over the course of, you know, decades now, um places like Chicago, San Francisco, it sounds like Seattle. I know Denver. Um Even Toronto have extensive urban coyote populations. And so they've found the things they need in urban environments",Key insight,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=cfa93IESXop3KBAMz9JM1
"Yeah. I mean, people are very receptive. I mean, again, the Bay Area is a place, a lot of people live here because there's so much nature all around. Right. So there's an inherent appreciation for wild things.",Positive,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-25 16:11,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=CJw06BSFvWXJ2fIOA9DMj
"Um And yes, we coordinate and collaborate with city councils. As I mentioned, I went down to um Brisbane, which I'm sure, you know, just south of San Francisco and did a presentation at the city manager's request and then went and tabled at a, a community park day basically because they've had some issues with coyotes because people started feeding them. Um And then once they were there, there were, you know, some other issues people were concerned and they were scavenging trash at the park when the trash bins would overflow on the weekends and things like that. And so, um so government organizations are involved but they often reach out to us for the out.",,,,,SK Project Coyote,,2024-11-25 16:14,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=WuURYLyCY8Ft3kxW7wN50
"All right. There it is like that's working. Yeah. Um Well, thank you again for this. Um So I'm gonna jump right into it",Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=1bXyjF4kmUAcMI5YjNgZcb
"Um I, I am not. So, I mean, I have my, my piece of the, the programming. I don't know if anybody, I mean, I don't know if they are keeping track of a lot of, a lot of our stuff is just downloadable, right? So anyone with an internet connection can download it and print it. And um I personally know, you know, things like brochures, you know, we table at a lot of community events, community fairs, Earth Day, you know, other things like that. So we have um several different handouts. One is ranching and agriculture with uh wildlife. One is a sort of coexistence with coyotes. Generally, one is sort of more focused on pets and coyotes. So we have brochures that we hand out. We also have laminated signs that we work with a variety of different, you know, municipal and park type agencies and help them you know, put signs in appropriate places around not feeding coyotes and coexistence tips.",Confusion,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-25 16:04,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=1kZTupD1l1n49wHsK05pG4
"Um I also have handed out signs to individuals who've contacted me about issues in their neighborhood so they can put signs up in their neighborhood specifically. So, um but I don't have like numbers um to share with you about how many people are, are using those resources",Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=1p6Fm3WXS1RMxeFtp4bbra
"Um I also have handed out signs to individuals who've contacted me about issues in their neighborhood so they can put signs up in their neighborhood specifically. So, um but I don't have like numbers um to share with you about how many people are, are using those resources",Confusion,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=1p6Fm3WXS1RMxeFtp4bbra
"And so I think a lot of people just, especially, I think you get, um, particularly dog owners sort of not knowing how to interact or what to do and, and dogs do present conflict, um, issues, um, in terms of coyotes being in proximity and especially if you have off leash dogs. And so from an urban standpoint, things like leash laws and prohibition on feeding coyotes, um, or, and wildlife in general, but particularly coyotes can help reduce the chance of conflict.",Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-25 16:11,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=1II4kzO7RXcQBdDvtFUYPb
"But, um, but certainly they provide rodent control and, and actually they, when you look at the ecosystem, if they're the top predator, which in many places they are because in westward expansion, we eliminated things like Grizzlies and wolves and mountain lions from a lot of places and coyotes very quickly and intelligently moved into those openings and those ecosystems. And so they also provide sort of a top down pressure on some of the maso carnivores and some of those prey on nesting, um, birds, ground nesting birds and other things. So there's a balancing of the ecosystem over all that happens and, and cities are, I'm sure you've probably read the accidental ecosystem, but urban areas are an ecosystem, they're an unusual sort of created one, but they, they are still ecosystems.",,,,,SK Project Coyote,,2024-11-25 16:11,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=25XMbeI7LSLNKpuf3Lx6dr
"Um, but there was a knowledge gap. Um, where they, like, they didn't know what to do. Um, when we did ask these more probing questions. Um, so because I think there was a gap, there was a slight subconscious like, idea, like there is a threat because they don't know. But at the same time, what they told us, uh, outright is that they're interested",Key insight,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=2aL3eLzDUWxsdcN2GoKbGP
"Um And then let's see what else we have. Um people who are interested are part of what we call the email pack. And so we get, we send, there's definitely, there's a monthly newsletter that goes out and then on top of that, when there are particular issues um either in the news or we have a campaign that we're seeking, you know, to activate people who might be interested.",,,,,SK Project Coyote,,2024-11-25 16:15,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=2tLlmZwzvpTN0ilZMv2i8i
"Um In non urban areas, you tend to also get sort of the eco tourism component. So there's value inherently in having wildlife present because it draws people to places that want to see the wildlife or photograph the wildlife.",,,,,SK Project Coyote,,2024-11-25 16:10,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=2GRip2P1pWKtdjdv9jC4Nu
"Like coyotes are active day and night, especially when they're feeding pups. Uh, and so I, you know, all the time we talk about the fact that simply seeing a coyote during daylight hours is not in and of itself a cause for concern, period. Like if you see a coyote 30 yards away, walking across a hillside in broad daylight, that's not a problem.",Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-25 16:07,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=2JeB9dh4b1bKV0p1w8H5Tc
"Yeah. I mean, I think so, part of the problem is that it, um, most of the coexistence management comes down to managing human behavior.",Suggestion,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-25 16:05,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=2SWSh0Ut2MXtHqFzj2wSrR
"Yeah. I mean, I think so, part of the problem is that it, um, most of the coexistence management comes down to managing human behavior.",Frustration,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-25 16:05,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=2SWSh0Ut2MXtHqFzj2wSrR
"Um, yeah, they're very much here. So, um, yeah. So next question, um, how much do you think the general public knows about, well, one urban coyotes and two, how to behave around urban coyotes",Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=4nDV9t2AYkihY0GDV8wwKX
"Um And uh yeah, she's saying that in Seattle there are, she, they've identified about 70 individual, um, urban coyotes here. Um, but they seem to be, the numbers seems to go up and down a little bit depending",Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=58vvJXFtQ4UrULjvkSGU6m
"Um So really trying to educate people on compassionate coexistence. And so our website project Coyote website has a ton of resources around coexistence. Um Hazing coyotes, sort of what to do to try and minimize the potential for conflict and um you know, resources for people to share with their neighbors, things like that",Key insight,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=5u7INZRqIAGBR79HfujRVL
"Yeah, so, um and we partner with lots of government entities. So including San Francisco, the city and county of San Francisco Animal Control. Um We have a partnership with the Humane Society. We run a lot of campaigns in tandem with the Humane Society.",,,,,SK Project Coyote,,2024-11-25 16:14,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=5CrI78KvcxS3tircNj77jj
"So, I mean, from a digital standpoint, so Project Coyote has a social media presence. So we are regularly, I'm not gonna say daily, but it's close on Instagram and Facebook with our campaigns and coexistence tips. So it's a pretty constant stream outward from that standpoint.",,,,,SK Project Coyote,,2024-11-25 16:14,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=5FwnNNKmNVyCkdbXKXFSJO
"Um So coyotes are incredibly intelligent, adaptable animals in general. And so their focus is on survival and they need certain things to survive. So they need food, they need water, they need a place to raise their young",Key insight,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=632EzCY4N3rwvnKLNut7BG
Um I also have handed out signs to individuals who've contacted me about issues in their neighborhood so they can put signs up in their neighborhood specifically,Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=6e7eGItHP4FI3gKw3psDNX
"So this won't be about Seattle specifically since you um this will just be about what, you know, but how do you um can you tell me more about how coyotes have adapted to Seattle? Oh, sorry, to urban environments or suburban environment specifically, right",Action,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-22 14:48,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=6wnw10zXtNGQIfWztOpG3m
"So, like weighing whether there's really a cause for concern and I, you know, the sort of high to low levels of concern, you know, I would say that's even, that is not really useful in the sense of like, it's not so much a concern. It's a, it's what the next steps would be. So, like, if you look at um, the Humane Society, one, they, they describe ob observations versus sightings versus encounters and then related to pets and other things.",Suggestion,#5550ff,Untitled group,Tags,SK Project Coyote,,2024-11-25 16:09,https://personal-workspace-hh6j.dovetail.com/data/36xf7wrohSkVBcwFmEsPJz#:v:h=7vAzxiimKUAuhhNoX0qGtP
"And again, I've never felt like I was going to be attacked by them, but I don't want them to feel comfortable, especially with all the kids in the neighborhood coming up to humans or other dogs, which is why I've let, I've let one of my dogs hunt a coyote around the neighborhood",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=w58sUNzWgPulrRwK4hR0W
"So I yell, I'm like, hey, I'm not gonna yell it as loud as I do in here, but I yell very loud. Hey, and then if my dogs are with me, I've actually had my dogs run after, I'll tell my dogs because I have a husky and a Samoyed that are very big and I'll say, get them and then they'll run after the coyote because I want them to be scared. But I do this or I do this and I yell, hey, because you want them to see you as big and like scary",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=16IzQdlSDcx4VYip94Aaaj
"No. No. So, I am all about cohabit with these animals because we're like in their space. But I don't feel like our, um, I don't know if it would be Department of Ecology or fish and wildlife. It would probably be fish and wildlife is what I'm assuming",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=1TLZyzTcmWqgqqUjWdhknW
"Um, I, I have a next door profile and people post on next door when they, there's coyotes",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=2ZJU22VFUJRbRZ5JjZvp8k
"But I can probably, if you want to see my phone also",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=3awOX9iG8l4OiCPqiAIA1D
"It was so random. I went and told my neighbor they still let their cat out. I still see it all the time, even though the cat almost got eaten by a coyote in my front yard",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=3DYualjR3TkswzakhtU6dw
"Yeah. Being a parent. Um my Children are older. Um And they've also done backpacking with me. So I've taught them like animal safety, like for wild animals. So in my specific scenario, I am not concerned, but I will say having the empathy of a parent and knowing so many people with small Children. Um It does make me nervous because the coyotes, I'll, I'll tell you one use case person did not have a small child, but it could have ended up bad if there was a small child. Two doors down, one of my neighbors had a coyote jump his 6 ft fence. Part of it's on video, very small amount. And it took his dog, he had a small dog in the backyard, killed the dog and ate it and he found it a few minutes later, he just let the dog out",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=3HaWZKwXWCJmDQNqD5jBw4
"Luckily I don't have that scenario in my house because my kids are older. But, yeah, what's, what's the age, like, range of your kids? So, my daughter is 17 so she's older",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=4ELlRPTG0QF4ek6CZ2XA45
